appareil,station,latitude,longitude,latitude_amont,longitude_amont,latitude_aval,longitude_aval,url_article,altitude_moyenne,ratio_jours_faible_neige,jours_neige_faible,jours_neige_critique,jours_total,neige_moyenne_cm,neige_min_cm,neige_max_cm,nb_jours_mesure,nombre_periodes_secheresse,duree_max_secheresse,duree_moyenne_secheresse
3S Prodains Express,Avoriaz (Morzine-Avoriaz - Les Portes du Soleil),46.18940506001345,6.755111217498779,46.18940506001345,6.755111217498779,46.18940506001345,6.755111217498779,https://www.remontees-mecaniques.net/bdd/reportage-3s-prodains-express-poma-leitner-5845.html,1470.0,0.06077348066298342,11,10,181,6126.023756906075,0.0,10831.700000000004,181,1,11,11.0
TKD des Mottaz,Bellevaux - Hirmentaz (Hirmentaz - Les Habères),46.23605482798805,6.507417261600494,46.23605482798805,6.507417261600494,46.23605482798805,6.507417261600494,https://www.remontees-mecaniques.net/bdd/reportage-tkd-des-mottaz-montagner-6353.html,1353.5,0.09944751381215469,18,11,181,2123.7187845303843,0.0,4115.8,181,1,18,18.0
TSF4 du Cheneau,Bellevaux - Hirmentaz (Hirmentaz - Les Habères),46.2444417906334,6.50690764188766,46.2444417906334,6.50690764188766,46.2444417906334,6.50690764188766,https://www.remontees-mecaniques.net/bdd/reportage-tsf4-du-cheneau-skirail-2380.html,1230.5,0.09944751381215469,18,11,181,2123.7187845303843,0.0,4115.8,181,1,18,18.0
TKF École 2,Bellevaux - La Chèvrerie (Roc d'Enfer - Les Portes du Soleil),46.21187275866674,6.569788008928299,46.21187275866674,6.569788008928299,46.21187275866674,6.569788008928299,https://www.remontees-mecaniques.net/bdd/reportage-tkf-ecole-2-poma-5994.html,1124.5,0.10497237569060773,19,18,181,639.2016574585635,0.0,1144.8999999999996,181,1,19,19.0
TSD6 du Morclan,Châtel (Les Portes du Soleil),46.26791512827645,6.856681108474732,46.26791512827645,6.856681108474732,46.26791512827645,6.856681108474732,https://www.remontees-mecaniques.net/bdd/reportage-tsd6-du-morclan-poma-7112.html,1795.0,0.06077348066298342,11,11,181,4526.320441988953,0.0,8116.599999999998,181,1,11,11.0
TKD de Crève Coeur,Combloux (Portes du Mont Blanc - Évasion Mont Blanc),45.882174012221924,6.60130262374878,45.882174012221924,6.60130262374878,45.882174012221924,6.60130262374878,https://www.remontees-mecaniques.net/bdd/reportage-tkd-de-creve-coeur-poma-1979.html,1665.0,0.09944751381215469,18,18,181,1324.823756906077,0.0,2363.8999999999996,181,1,18,18.0
TSF4 du Jouty,Combloux (Portes du Mont Blanc - Évasion Mont Blanc),45.8916958282068,6.58591747283936,45.8916958282068,6.58591747283936,45.8916958282068,6.58591747283936,https://www.remontees-mecaniques.net/bdd/reportage-tsf4-du-jouty-skirail-831.html,1562.0,0.09944751381215469,18,18,181,1324.823756906077,0.0,2363.8999999999996,181,1,18,18.0
TSD6 de Vernant,Flaine (Le Grand Massif),46.01939145847874,6.71039342880249,46.01939145847874,6.71039342880249,46.01939145847874,6.71039342880249,https://www.remontees-mecaniques.net/bdd/reportage-tsd6-de-vernant-poma-6188.html,2022.0,0.06077348066298342,11,11,181,5728.5414364640865,0.0,10381.499999999996,181,1,11,11.0
TKD du Laquais & du Grand Laquais,La Clusaz (La Clusaz-Manigod - Les Aravis),45.8807362628948,6.42501980066299,45.8807362628948,6.42501980066299,45.8807362628948,6.42501980066299,https://www.remontees-mecaniques.net/bdd/reportage-tkd-du-laquais-du-grand-laquais-montaz-mautino-2778.html,,0.09944751381215469,18,11,181,5542.509392265194,0.0,9935.999999999996,181,1,18,18.0
TSF4 du Col de Balme,La Clusaz (La Clusaz-Manigod - Les Aravis),45.9009621616453,6.48155808448792,45.9009621616453,6.48155808448792,45.9009621616453,6.48155808448792,https://www.remontees-mecaniques.net/bdd/reportage-tsf4-du-col-de-balme-poma-2528.html,,0.09944751381215469,18,11,181,5542.509392265194,0.0,9935.999999999996,181,1,18,18.0
TSD6 du Charmieux,Le Grand-Bornand (Les Aravis),45.97013409344298,6.451511392369867,45.97013409344298,6.451511392369867,45.97013409344298,6.451511392369867,https://www.remontees-mecaniques.net/bdd/reportage-tsd6-du-charmieux-poma-8471.html,,0.09944751381215469,18,18,181,3713.187845303866,0.0,6741.100000000001,181,1,18,18.0
TSF3 des Annes,Le Grand-Bornand (Les Aravis),45.9607529005186,6.50396257638931,45.9607529005186,6.50396257638931,45.9607529005186,6.50396257638931,https://www.remontees-mecaniques.net/bdd/reportage-tsf3-des-annes-poma-3185.html,,0.09944751381215469,18,18,181,3713.187845303866,0.0,6741.100000000001,181,1,18,18.0
TKD du Pommier,Le Salève,46.11979673589,6.17057204246521,46.11979673589,6.17057204246521,46.11979673589,6.17057204246521,https://www.remontees-mecaniques.net/bdd/reportage-tkd-du-pommier-montagner-4967.html,1230.0,0.3867403314917127,70,52,181,41.88011049723756,0.0,61.400000000000006,181,1,70,70.0
TKD du Plein Soleil,Les Carroz d'Arâches (Le Grand Massif),46.021775491349146,6.657081842422485,46.021775491349146,6.657081842422485,46.021775491349146,6.657081842422485,https://www.remontees-mecaniques.net/bdd/reportage-tkd-du-plein-soleil-montaz-mautino-6714.html,1723.0,0.09944751381215469,18,18,181,1898.033701657459,0.0,3460.200000000002,181,1,18,18.0
